text,sentiment
Unprofessional behavior from the AC repair,negative
AC repair was slow and inefficient,negative
Very bad experience with the cleaning service,negative
internet technician did an excellent job,positive
"Waste of money, very disappointed",negative
Great experience with the internet technician,positive
Very satisfied with the cleaning service,positive
car service came late and was rude,negative
Very bad experience with the electrician,negative
Very bad experience with the internet technician,negative
internet technician did not complete the work properly,negative
salon was quick and efficient,positive
"Waste of money, very disappointed",negative
The plumber was very professional and on time,positive
plumber did an excellent job,positive
AC repair was quick and efficient,positive
doctor did an excellent job,positive
Great experience with the internet technician,positive
plumber was slow and inefficient,negative
doctor was slow and inefficient,negative
salon was slow and inefficient,negative
delivery was quick and efficient,positive
Highly recommend this salon,positive
Great experience with the car service,positive
doctor was slow and inefficient,negative
Unprofessional behavior from the electrician,negative
car service came late and was rude,negative
plumber came late and was rude,negative
electrician was slow and inefficient,negative
mechanic came late and was rude,negative
"Waste of money, very disappointed",negative
salon was quick and efficient,positive
Very bad experience with the mechanic,negative
Great experience with the mechanic,positive
plumber did not complete the work properly,negative
Unprofessional behavior from the cleaning service,negative
Highly recommend this cleaning service,positive
The salon was very professional and on time,positive
internet technician was slow and inefficient,negative
Highly recommend this car service,positive
Very satisfied with the mechanic,positive
mechanic was quick and efficient,positive
Unprofessional behavior from the internet technician,negative
Highly recommend this electrician,positive
doctor came late and was rude,negative
electrician was quick and efficient,positive
Highly recommend this salon,positive
Unprofessional behavior from the car service,negative
Very satisfied with the mechanic,positive
cleaning service was slow and inefficient,negative
delivery came late and was rude,negative
AC repair came late and was rude,negative
Very satisfied with the plumber,positive
delivery did an excellent job,positive
Highly recommend this doctor,positive
The cleaning service was very professional and on time,positive
Very bad experience with the electrician,negative
delivery was quick and efficient,positive
Unprofessional behavior from the mechanic,negative
electrician was quick and efficient,positive
Highly recommend this electrician,positive
doctor did not complete the work properly,negative
Highly recommend this doctor,positive
internet technician was quick and efficient,positive
Highly recommend this mechanic,positive
cleaning service came late and was rude,negative
electrician did an excellent job,positive
salon did not complete the work properly,negative
Great experience with the cleaning service,positive
salon was quick and efficient,positive
plumber was slow and inefficient,negative
Great experience with the doctor,positive
salon did not complete the work properly,negative
Unprofessional behavior from the car service,negative
"Waste of money, very disappointed",negative
"Waste of money, very disappointed",negative
The car service was very professional and on time,positive
The internet technician was very professional and on time,positive
AC repair was slow and inefficient,negative
Very satisfied with the internet technician,positive
AC repair did not complete the work properly,negative
cleaning service was slow and inefficient,negative
Unprofessional behavior from the delivery,negative
plumber was slow and inefficient,negative
salon was quick and efficient,positive
Very bad experience with the cleaning service,negative
cleaning service did an excellent job,positive
car service was quick and efficient,positive
Highly recommend this doctor,positive
AC repair was slow and inefficient,negative
The salon was very professional and on time,positive
plumber was quick and efficient,positive
"Waste of money, very disappointed",negative
AC repair was quick and efficient,positive
The car service was very professional and on time,positive
doctor came late and was rude,negative
electrician did not complete the work properly,negative
The cleaning service was very professional and on time,positive
plumber came late and was rude,negative
electrician did not complete the work properly,negative
doctor did an excellent job,positive
salon was quick and efficient,positive
Highly recommend this mechanic,positive
"Waste of money, very disappointed",negative
internet technician was quick and efficient,positive
Highly recommend this doctor,positive
internet technician came late and was rude,negative
Very bad experience with the plumber,negative
Unprofessional behavior from the AC repair,negative
Highly recommend this internet technician,positive
"Waste of money, very disappointed",negative
The plumber was very professional and on time,positive
mechanic came late and was rude,negative
internet technician did not complete the work properly,negative
Very bad experience with the delivery,negative
AC repair did not complete the work properly,negative
mechanic came late and was rude,negative
cleaning service was slow and inefficient,negative
doctor did an excellent job,positive
cleaning service was slow and inefficient,negative
mechanic did an excellent job,positive
The electrician was very professional and on time,positive
Very satisfied with the salon,positive
The doctor was very professional and on time,positive
Unprofessional behavior from the cleaning service,negative
"Waste of money, very disappointed",negative
